extension\10_em_81	H I \Delta
HAMEX\formulaire008-equation045	+ 0 1 2 3 7 \geq
HAMEX\formulaire008-equation046	( ) - 0 2 3 4 = \pi b r
HAMEX\formulaire008-equation047	+ , - 0 2 3 4 5 6 7 8 c h
HAMEX\formulaire008-equation048	- 0 2 = \sin \theta k
HAMEX\formulaire008-equation049	( ) , \phi u v
HAMEX\formulaire008-equation051	( ) - 1 \log a b
HAMEX\formulaire008-equation052	( ) = \sin t y
HAMEX\formulaire008-equation053	+ 2 = d s x y z
HAMEX\formulaire008-equation055	( ) + / 1 2 3 4 6 7 \geq
HAMEX\formulaire008-equation056	+ 1 3 5 8 = x
HAMEX\formulaire008-equation057	( ) 2 u z
HAMEX\formulaire008-equation058	+ - 0 1 = a n s
HAMEX\formulaire008-equation059	- 0 1 2 = \sqrt c v
HAMEX\formulaire008-equation060	( ) + . / 0 1 3 4 5 6 7 9 = \times
HAMEX\formulaire008-equation061	( ) - = \sin x
HAMEX\formulaire008-equation062	( ) , = a x y z
HAMEX\formulaire008-equation063	+ 1 6 = x y
HAMEX\formulaire008-equation064	+ - 1 3 = n u
HAMEX\formulaire008-equation065	( ) + 0 1 3 5 7 8 \div \leq
HAMEX\formulaire008-equation066	1 = c g k
HAMEX\formulaire008-equation067	, \alpha \gamma
HAMEX\formulaire008-equation068	+ 1 2 = n x y z
HAMEX\formulaire008-equation069	( ) , f t v
HAMEX\formulaire008-equation070	- 1 4 5 8 9 =
HAMEX\formulaire008-equation071	( ) - 2 = \sin e i x
HAMEX\formulaire008-equation072	- X Y p
HAMEX\formulaire008-equation073	( ) - 1 n
HAMEX\formulaire009-equation000	( ) 0 1 2 5 7 8 9 = \times
HAMEX\formulaire009-equation001	- e z
HAMEX\formulaire009-equation002	( ) , 1 = \ldots n x
HAMEX\formulaire009-equation003	( ) 2 \cos x
HAMEX\formulaire009-equation004	\pi l r
HAMEX\formulaire009-equation005	( ) - 1 3 4 5 6 7 9 \neq \times
HAMEX\formulaire009-equation006	( ) \cos a b
HAMEX\formulaire009-equation007	- X j
HAMEX\formulaire009-equation008	+ - 1 2 x y
HAMEX\formulaire009-equation009	1 8 u
HAMEX\formulaire009-equation010	( ) + - / 0 1 2 3 4 5 6 7 8 9 \neq
HAMEX\formulaire009-equation011	( ) k n x
HAMEX\formulaire009-equation012	0 \neq u
HAMEX\formulaire009-equation013	( ) - 2 3 4 = x
HAMEX\formulaire009-equation014	( ) + - 0 2 4 = \alpha \cos \sin \sqrt a p v z
HAMEX\formulaire009-equation015	( ) - 0 1 2 5 6 9 \div \pm
HAMEX\formulaire009-equation016	a b c d n
HAMEX\formulaire009-equation017	- 2 9 = \pi e i j v
HAMEX\formulaire009-equation018	( ) \pi \sin z
HAMEX\formulaire009-equation019	, 2 4 8 \times e
HAMEX\formulaire009-equation021	+ a b
HAMEX\formulaire009-equation022	( ) 1 = \lim \rightarrow a f x
HAMEX\formulaire009-equation023	( ) + - 1 2 3 \sqrt x
HAMEX\formulaire009-equation024	, a b c d
HAMEX\formulaire009-equation025	1 2 3 4 8 9 \pm \times
HAMEX\formulaire009-equation028	0 1 = x
HAMEX\formulaire009-equation029	+ 0 = h i x
HAMEX\formulaire009-equation030	+ 1 3 4 7 9 \geq
HAMEX\formulaire009-equation031	+ 0 = a
HAMEX\formulaire009-equation032	b l x
HAMEX\formulaire009-equation033	( ) + = \cos \sin i n x
HAMEX\formulaire009-equation034	+ 5 p q y
HAMEX\formulaire009-equation035	( ) + . / 1 3 4 5 6 7 8 9 = \times
HAMEX\formulaire009-equation036	= d r
HAMEX\formulaire009-equation037	+ - 1 2 = n u
HAMEX\formulaire009-equation038	( ) \pi c
HAMEX\formulaire009-equation039	( ) + - 1 2 3 = X p
HAMEX\formulaire009-equation040	( ) + - 0 1 2 3 5 6 7 8 = \times
HAMEX\formulaire009-equation041	0 1 8
HAMEX\formulaire009-equation042	( ) + - 1 2 = h k p q
HAMEX\formulaire009-equation043	0 = b
HAMEX\formulaire009-equation044	+ - = \alpha \beta \sin p
HAMEX\formulaire009-equation045	+ 1 2 3 6 8 \leq
HAMEX\formulaire009-equation046	+ - 0 1 2 3 4 5 6 7 9 = a
HAMEX\formulaire009-equation047	0 8 = h k m
HAMEX\formulaire009-equation048	- 1 2 \cos x
HAMEX\formulaire009-equation049	( ) , = c d g k n p r
HAMEX\formulaire009-equation050	( ) - 0 3 5 6 8 9 \geq \times
HAMEX\formulaire009-equation052	\infty \rightarrow k
HAMEX\formulaire009-equation053	( ) - 1 3 4 = \times x
HAMEX\formulaire009-equation054	- 1 = a n q
HAMEX\formulaire009-equation055	- 1 2 3 5 6 8 \neq
HAMEX\formulaire009-equation056	2 3 9 = k
HAMEX\formulaire009-equation057	+ - 1 2 3 = l
HAMEX\formulaire009-equation058	( ) 1 = \phi a y
HAMEX\formulaire009-equation059	+ 1 n u
HAMEX\formulaire009-equation060	+ 1 2 4 5 6 \neq
HAMEX\formulaire009-equation061	= \cos \theta r x
HAMEX\formulaire009-equation062	, 0 \neq i j n
HAMEX\formulaire009-equation063	( ) - 1 2 = \sin x y
HAMEX\formulaire009-equation064	( ) + , - 1 a b t x y
HAMEX\formulaire009-equation065	( ) + - 1 2 4 5 6 8 \div \geq \times
HAMEX\formulaire009-equation066	2 4 \sin
HAMEX\formulaire009-equation067	+ - 1 = \alpha \ldots i n x y
HAMEX\formulaire009-equation068	+ - 1 2 = n x y z
HAMEX\formulaire009-equation069	1 = p
HAMEX\formulaire009-equation071	- 2 a
HAMEX\formulaire009-equation072	- 2 \sqrt p q r
HAMEX\formulaire009-equation073	0 = e
HAMEX\formulaire009-equation074	( ) + - 1 2 = a n t
HAMEX\formulaire010-equation001	0 2 = a
HAMEX\formulaire010-equation002	0 1 \leq t
HAMEX\formulaire010-equation003	+ - 1 2 3 4 x
HAMEX\formulaire010-equation004	= \sqrt w z
HAMEX\formulaire010-equation006	( ) + - 2 3 = r x y
HAMEX\formulaire010-equation007	( ) , c x y
HAMEX\formulaire010-equation008	+ - 1 2 3 4 6 8 \sqrt x
HAMEX\formulaire010-equation009	( ) = a b h
HAMEX\formulaire010-equation012	( ) - = f g j n z
HAMEX\formulaire010-equation013	- = a c x y
HAMEX\formulaire010-equation014	( ) , 2 3 = x
HAMEX\formulaire010-equation016	+ 1 5 = x
HAMEX\formulaire010-equation018	1 2 3 7 9 = \times
HAMEX\formulaire010-equation019	( ) h o
HAMEX\formulaire010-equation020	( ) + / 0 1 3 5 6 7 8 \pm \times
HAMEX\formulaire010-equation021	( ) a b c
HAMEX\formulaire010-equation022	2 m p
HAMEX\formulaire010-equation024	, 1 a j
HAMEX\formulaire010-equation026	d f r
HAMEX\formulaire010-equation027	( ) , 1 \ldots a k
HAMEX\formulaire010-equation028	1 = \beta
HAMEX\formulaire010-equation029	( ) , 0 1 = i
HAMEX\formulaire010-equation030	( ) - 0 1 2 4 5 6 8 9 \geq \times
HAMEX\formulaire010-equation031	0 2 \neq
HAMEX\formulaire010-equation032	+ - 1 \alpha \ldots i n y
HAMEX\formulaire010-equation033	- 2 4 9 = X
HAMEX\formulaire010-equation034	( ) + , - 1 \ldots i n y
HAMEX\formulaire010-equation036	( ) \phi n
HAMEX\formulaire010-equation037	( ) , 1 2 u
HAMEX\formulaire010-equation038	( ) r s
HAMEX\formulaire010-equation039	+ - 1 2 5 = q u w
HAMEX\formulaire010-equation041	( ) = d e f
HAMEX\formulaire010-equation042	( ) + - 2 = \sqrt r s t x y z
HAMEX\formulaire010-equation044	( ) - = d f t x
HAMEX\formulaire010-equation045	- 2 5 6 8 \leq
HAMEX\formulaire010-equation046	+ - 3 \pi
HAMEX\formulaire010-equation047	( ) - 1 = f h x
HAMEX\formulaire010-equation048	1 5 = X
HAMEX\formulaire010-equation049	( ) , 0 = a b c f
HAMEX\formulaire010-equation050	( ) - / 0 1 3 4 5 6 7 8 9 \geq
HAMEX\formulaire010-equation051	( ) - 3 = f x
HAMEX\formulaire010-equation052	( ) h t
HAMEX\formulaire010-equation053	- 3 4
HAMEX\formulaire010-equation054	( ) , j k
HAMEX\formulaire010-equation056	- 0 1 3 = x
HAMEX\formulaire010-equation057	= \times m n p
HAMEX\formulaire010-equation058	+ 1 2 =
HAMEX\formulaire010-equation059	= a g i j k l
HAMEX\formulaire010-equation061	+ 0 1 2 3 = a x
HAMEX\formulaire010-equation062	( ) , - \cos \sin a
HAMEX\formulaire010-equation063	( ) - 1 2 3 = X
HAMEX\formulaire010-equation064	( ) + 1 2 3 4 = p s
HAMEX\formulaire010-equation065	- 1 2 4 5 7 =
HAMEX\formulaire010-equation066	- 2 a b c
HAMEX\formulaire010-equation067	( ) \phi p
HAMEX\formulaire010-equation069	+ = c e n p r t v
HAMEX\formulaire010-equation071	( ) - 1 2 a z
HAMEX\formulaire010-equation072	( ) \alpha \cos
HAMEX\formulaire010-equation073	- 1 2 4 6 7 x
HAMEX\formulaire010-equation074	( ) , 1 2 \leq p q
HAMEX\formulaire011-equation000	( ) + 0 1 3 4 8 9 \div \neq
HAMEX\formulaire011-equation001	a n z
HAMEX\formulaire011-equation002	( ) + - 0 1 = \alpha \beta \infty \sum i
HAMEX\formulaire011-equation003	3 4 = n
HAMEX\formulaire011-equation004	( ) , 0 f y
HAMEX\formulaire011-equation005	0 1 7 8 9 \pm \times
HAMEX\formulaire011-equation006	0 3 4 5 6 = \times
HAMEX\formulaire011-equation007	( ) , 0 1 3 = l
HAMEX\formulaire011-equation008	= \theta a e i r
HAMEX\formulaire011-equation009	+ 1 2 = n u
HAMEX\formulaire011-equation010	( ) - . / 0 1 4 5 6 7 8 9 =
HAMEX\formulaire011-equation011	+ - 1 2 = \sin \sqrt a x
HAMEX\formulaire011-equation012	( ) 0 = i q
HAMEX\formulaire011-equation013	( ) - 1 2 = \cos \sin x
HAMEX\formulaire011-equation015	1 3 4 6 \neq \times
HAMEX\formulaire011-equation016	\log a x
HAMEX\formulaire011-equation017	- 2 = f h
HAMEX\formulaire011-equation018	+ 2 = \cos \phi \sin \sqrt \theta a r x
HAMEX\formulaire011-equation019	( ) + - 1 2 = \ldots a b p
HAMEX\formulaire011-equation021	- 1 = k
HAMEX\formulaire011-equation022	- 2 m n
HAMEX\formulaire011-equation023	4 = b
HAMEX\formulaire011-equation024	+ - 1 2 = w
HAMEX\formulaire011-equation025	- 0 1 2 5 6 7 8 9 \leq
HAMEX\formulaire011-equation026	( ) \phi s
HAMEX\formulaire011-equation027	+ - 1 2 = a n q
HAMEX\formulaire011-equation028	- 0 1 7
HAMEX\formulaire011-equation029	+ - 2 a b m
HAMEX\formulaire011-equation031	( ) + - 1 2 \alpha n
HAMEX\formulaire011-equation032	( ) + - 1 = X \infty \int d p x
HAMEX\formulaire011-equation033	( ) - 2 5 6 \leq x
HAMEX\formulaire011-equation034	( ) - 0 1 = \alpha \beta \sum i n v
HAMEX\formulaire011-equation035	+ - 1 3 5 6 7 8 \leq
HAMEX\formulaire011-equation036	( ) + - 1 2 3 4 = y z
HAMEX\formulaire011-equation037	a c i l y
HAMEX\formulaire011-equation038	- 1 =
HAMEX\formulaire011-equation039	( ) - 1 = a g m r
HAMEX\formulaire011-equation040	( ) + 0 1 2 5 6 7 9 \div \neq
HAMEX\formulaire011-equation041	- 1 2 3 5 \times
HAMEX\formulaire011-equation042	0 2 \neq p
HAMEX\formulaire011-equation043	1 2 = \pm \theta
HAMEX\formulaire011-equation044	+ 1 4 = m p
HAMEX\formulaire011-equation045	/ 0 2 6 7 \geq
HAMEX\formulaire011-equation046	( ) = \alpha \theta y
HAMEX\formulaire011-equation047	2 = X Y
HAMEX\formulaire011-equation048	- 1 2 4
HAMEX\formulaire011-equation049	= \infty \sum a i k p r
HAMEX\formulaire011-equation050	- 0 1 2 4 7 8 \neq \times
HAMEX\formulaire011-equation051	\pi \sqrt r
HAMEX\formulaire011-equation052	- 0 2 = g t v
HAMEX\formulaire011-equation054	+ - 1 2 3 = \sqrt u
HAMEX\formulaire011-equation057	+ 0 = \infty \lim \log \rightarrow a x
HAMEX\formulaire011-equation058	- 2 e x
HAMEX\formulaire011-equation059	- 1 2 = n p
HAMEX\formulaire011-equation060	( ) - / 1 3 4 5 9 \neq
HAMEX\formulaire011-equation061	- 1 b
HAMEX\formulaire011-equation062	( ) , \pm r t w
HAMEX\formulaire011-equation063	2 \pi n
HAMEX\formulaire011-equation064	= \pi a p
HAMEX\formulaire011-equation065	( ) - 1 2 3 5 7 8 9 \div \geq
HAMEX\formulaire011-equation066	( ) - 1 2 = X \sqrt \sum f g i n x
HAMEX\formulaire011-equation068	+ - X Y e
HAMEX\formulaire011-equation069	( ) a l
HAMEX\formulaire011-equation071	( ) + - 1 2 3 4 = a n
HAMEX\formulaire011-equation072	( ) - 0 = \infty \sum a f n s
HAMEX\formulaire011-equation073	( ) 0 = f
HAMEX\formulaire012-equation000	( ) 1 2 4 6 7 8 9 = \times
HAMEX\formulaire012-equation001	( ) \beta x
HAMEX\formulaire012-equation002	+ - 3 4 5 9 = u v
HAMEX\formulaire012-equation003	2 4 \pi d
HAMEX\formulaire012-equation004	( ) - 1 = d l n x
HAMEX\formulaire012-equation006	+ - 2 x y
HAMEX\formulaire012-equation007	( ) n p z
HAMEX\formulaire012-equation008	+ 3 = a b c
HAMEX\formulaire012-equation009	( ) + - 2 = a b p q
HAMEX\formulaire012-equation010	( ) + - 0 1 2 4 5 7 8 \pm \times
HAMEX\formulaire012-equation011	2 \sqrt r
HAMEX\formulaire012-equation012	, 1 2 \phi
HAMEX\formulaire012-equation013	- 0 1 3 4
HAMEX\formulaire012-equation014	1 = u v
HAMEX\formulaire012-equation015	( ) 1 2 3 4 5 6 8 \div \pm
HAMEX\formulaire012-equation016	( ) + 1 2 3 5 8 = \times
HAMEX\formulaire012-equation017	( ) - 1 j
HAMEX\formulaire012-equation018	- 1 2 = \theta
HAMEX\formulaire012-equation020	+ - 1 4 5 6 7 9 \geq
HAMEX\formulaire012-equation021	0 = a x
HAMEX\formulaire012-equation022	= i j s
HAMEX\formulaire012-equation023	+ 1 2 6 = b
HAMEX\formulaire012-equation024	( ) + 1 X m
HAMEX\formulaire012-equation025	( ) - 1 2 3 4 5 6 7 8 9 \div \neq \times
HAMEX\formulaire012-equation026	2 = r x
HAMEX\formulaire012-equation028	( ) \alpha \rightarrow f
HAMEX\formulaire012-equation029	( ) = \alpha f g m n
HAMEX\formulaire012-equation030	( ) + . / 0 1 3 6 7 8 =
HAMEX\formulaire012-equation031	0 = \times a
HAMEX\formulaire012-equation032	( ) - = \infty \sum a f n z
HAMEX\formulaire012-equation033	= \times x y
HAMEX\formulaire012-equation034	( ) - 1 = b f k s
HAMEX\formulaire012-equation035	( ) + - / 0 1 2 3 4 5 7 8 9 \leq \times
HAMEX\formulaire012-equation036	+ - 0 1 2 3 = a n s
HAMEX\formulaire012-equation037	( ) - = \infty \lim \rightarrow f x
HAMEX\formulaire012-equation038	- 1 \alpha x
HAMEX\formulaire012-equation039	1 p x
HAMEX\formulaire012-equation040	+ - 1 3 4 6 7 8 \pm
HAMEX\formulaire012-equation041	- 1 \sqrt x
HAMEX\formulaire012-equation042	( ) + - 0 1 2 = f u v
HAMEX\formulaire012-equation043	+ 2 3 4
HAMEX\formulaire012-equation044	( ) + - 1 2 3 = q x
HAMEX\formulaire012-equation045	( ) - 1 3 4 6 9 \div \leq
HAMEX\formulaire012-equation046	- 1 a n
HAMEX\formulaire012-equation047	( ) + - 2 f n u v
HAMEX\formulaire012-equation048	4 6 9 = \times
HAMEX\formulaire012-equation049	= \alpha a n r t
HAMEX\formulaire012-equation050	+ - 0 1 8 9 \neq
HAMEX\formulaire012-equation051	- \alpha e x
HAMEX\formulaire012-equation053	0 1 = X
HAMEX\formulaire012-equation054	( ) , i j t u x
HAMEX\formulaire012-equation056	- a c
HAMEX\formulaire012-equation057	( ) , - = c h x y
HAMEX\formulaire012-equation058	( ) + 3 4 =
HAMEX\formulaire012-equation060	1 2 3 7 9 \div \leq
HAMEX\formulaire012-equation061	( ) + \cos \sin \sum a b n x
HAMEX\formulaire012-equation062	+ 1 = i j k q u v w x
HAMEX\formulaire012-equation063	( ) f z
HAMEX\formulaire012-equation064	- 2 l s
HAMEX\formulaire012-equation066	- 4 5
HAMEX\formulaire012-equation067	, 0 3 5 6 \times
HAMEX\formulaire012-equation068	+ 0 1 2 3 4 5 = a x
HAMEX\formulaire012-equation069	( ) - 1 = p q
HAMEX\formulaire012-equation070	( ) + - 0 1 2 3 4 7 9 \geq \times
HAMEX\formulaire012-equation071	( ) + 2 = x y
HAMEX\formulaire012-equation073	\alpha \beta \times
HAMEX\formulaire012-equation074	( ) 1 2 = f u
HAMEX\formulaire013-equation001	( ) + - 2 = b x
HAMEX\formulaire013-equation002	( ) , - 1 = \beta \ldots d g i n s
HAMEX\formulaire013-equation003	- 1 2 = z
HAMEX\formulaire013-equation004	( ) , \cos \sin a
HAMEX\formulaire013-equation006	\int a b f
HAMEX\formulaire013-equation007	- 2 = \pi a l p
HAMEX\formulaire013-equation008	\leq x y
HAMEX\formulaire013-equation009	- 1 2 = g t x
HAMEX\formulaire013-equation010	( ) - 1 2 3 4 5 6 7 8 9 \leq \times
HAMEX\formulaire013-equation011	\pm a b i
HAMEX\formulaire013-equation012	( ) + - 1 = X \ldots h m n
HAMEX\formulaire013-equation013	- 2 \pi e i n
HAMEX\formulaire013-equation014	+ - 1 n u
HAMEX\formulaire013-equation015	( ) - / 0 1 2 4 5 8 9 \neq
HAMEX\formulaire013-equation016	( ) + - 1 2 3 4 5 \times x y z
HAMEX\formulaire013-equation017	, \alpha \beta
HAMEX\formulaire013-equation018	+ 1 f n
HAMEX\formulaire013-equation019	( ) \phi l r
HAMEX\formulaire013-equation020	( ) + 0 1 2 3 4 6 \pm \times
HAMEX\formulaire013-equation021	( ) 1 \theta
HAMEX\formulaire013-equation023	1 2 e
HAMEX\formulaire013-equation024	( ) + 1 = X \sum g i j n p x z
HAMEX\formulaire013-equation026	1 2 = X
HAMEX\formulaire013-equation027	- 0 1 = \lim \rightarrow e x
HAMEX\formulaire013-equation028	0 1 2
HAMEX\formulaire013-equation029	- 1 = n p
HAMEX\formulaire013-equation031	- 1 2 = X i
HAMEX\formulaire013-equation032	, 1 \ldots \pi g
HAMEX\formulaire013-equation033	( ) - = f x
HAMEX\formulaire013-equation034	X \forall \in x
HAMEX\formulaire013-equation036	2 = d
HAMEX\formulaire013-equation037	+ 0 = h i x
HAMEX\formulaire013-equation038	+ - 1 2 3 4 x
HAMEX\formulaire013-equation039	( ) - 1 = b c j l
HAMEX\formulaire013-equation040	( ) + 0 1 2 3 5 6 7 8 9 \div \leq
HAMEX\formulaire013-equation041	1 3 6 = n
HAMEX\formulaire013-equation042	( ) , \phi \theta r
HAMEX\formulaire013-equation043	- 1 2 = a c x
HAMEX\formulaire013-equation045	1 2 3 5 6 7 8 9 = \times
HAMEX\formulaire013-equation046	- 0 = \sin x
HAMEX\formulaire013-equation047	3 = j u
HAMEX\formulaire013-equation048	+ 1 2 n x
HAMEX\formulaire013-equation049	- 0 1 = \sum a e i k n t
HAMEX\formulaire013-equation050	( ) - / 0 1 2 3 4 6 7 9 \geq \times
HAMEX\formulaire013-equation051	4 \leq k
HAMEX\formulaire013-equation052	( ) = \alpha \beta \cos \sin
HAMEX\formulaire013-equation053	( ) 2 \log
HAMEX\formulaire013-equation054	( ) , 0 f t
HAMEX\formulaire013-equation055	+ 0 1 2 8 \geq
HAMEX\formulaire013-equation056	2 \alpha d
HAMEX\formulaire013-equation058	+ - 1 = \int d x y
HAMEX\formulaire013-equation059	, 1 i j k
HAMEX\formulaire013-equation060	( ) + 0 1 2 3 4 6 7 8 \div \geq \times
HAMEX\formulaire013-equation061	= \sqrt a b
HAMEX\formulaire013-equation063	( ) - 1 = d f g x y
HAMEX\formulaire013-equation066	( ) - 1 f z
HAMEX\formulaire013-equation067	- = n p q u
HAMEX\formulaire013-equation069	( ) , f x y z
HAMEX\formulaire013-equation070	1 2 3 4 7 \geq \times
HAMEX\formulaire013-equation071	( ) + - = a b c d e f
HAMEX\formulaire013-equation072	2 = b c h
HAMEX\formulaire013-equation073	- 2 4 a b c
HAMEX\formulaire013-equation074	( ) - \phi i j x y
HAMEX\formulaire014-equation001	- 0 1 = \sum e i n x
HAMEX\formulaire014-equation002	( ) + - 0 1 2 3 8 f h
HAMEX\formulaire014-equation003	0 = i
HAMEX\formulaire014-equation004	- = e u v
HAMEX\formulaire014-equation005	( ) + / 1 2 3 5 6 7 8 9 \geq
HAMEX\formulaire014-equation006	1 5 \sqrt
HAMEX\formulaire014-equation008	- 2 d x y
HAMEX\formulaire014-equation009	( ) , 1 2 = \beta \ldots n
HAMEX\formulaire014-equation010	( ) + 1 2 3 4 6 8 \leq \times
HAMEX\formulaire014-equation011	\beta \sqrt n
HAMEX\formulaire014-equation012	( ) 0 = \lim \rightarrow f z
HAMEX\formulaire014-equation013	2 3 6 7 9 =
HAMEX\formulaire014-equation014	( ) - 1 = \lim \rightarrow a f g x
HAMEX\formulaire014-equation015	( ) + - 0 1 4 5 7 8 9 \pm \times
HAMEX\formulaire014-equation016	- 1 2 = k
HAMEX\formulaire014-equation017	1 2 3 v
HAMEX\formulaire014-equation018	+ 2 5 \sqrt
HAMEX\formulaire014-equation019	( ) 1 t x
HAMEX\formulaire014-equation020	( ) 0 1 3 5 6 7 \div \pm \times
HAMEX\formulaire014-equation021	( ) = \sin x y
HAMEX\formulaire014-equation022	( ) = u x y
HAMEX\formulaire014-equation023	+ - 0 1 2 = a c x y z
HAMEX\formulaire014-equation024	( ) + - 2 3 6 = \alpha \cos \pi \sin \sqrt w
HAMEX\formulaire014-equation025	( ) + - 0 1 2 7 8 9 \div \neq
HAMEX\formulaire014-equation026	+ 1 = \beta n
HAMEX\formulaire014-equation027	( ) 2 4 \log
HAMEX\formulaire014-equation028	3 = x
HAMEX\formulaire014-equation029	- 0 1 3 5 = t
HAMEX\formulaire014-equation030	( ) . / 1 2 3 4 5 6 8 = \times
HAMEX\formulaire014-equation031	+ - 0 1 3 7
HAMEX\formulaire014-equation032	- \pi p q
HAMEX\formulaire014-equation033	- 0 2 = r x
HAMEX\formulaire014-equation034	a i j z
HAMEX\formulaire014-equation035	( ) + / 0 1 3 4 8 9 \leq
HAMEX\formulaire014-equation036	- 2 3 7 = y
HAMEX\formulaire014-equation037	( ) + - 1 2 3 = \ldots n o x
HAMEX\formulaire014-equation038	( ) - 2 \pi n
HAMEX\formulaire014-equation039	+ b c d i j k
HAMEX\formulaire014-equation041	- 1 = x y
HAMEX\formulaire014-equation042	- 2 = \sin \sqrt \theta a c g m n x
HAMEX\formulaire014-equation043	- 1 2 3 = \sqrt k
HAMEX\formulaire014-equation044	( ) + - 1 2 = a b c p
HAMEX\formulaire014-equation045	( ) - 0 1 2 3 4 5 6 \div \pm \times
HAMEX\formulaire014-equation046	= a b c
HAMEX\formulaire014-equation047	- 1 2 \sqrt x
HAMEX\formulaire014-equation048	( ) + - 1 6 n
HAMEX\formulaire014-equation049	( ) - 1 u
HAMEX\formulaire014-equation051	\alpha \sin n
HAMEX\formulaire014-equation052	+ 1 = a b u v
HAMEX\formulaire014-equation053	( ) - 0 1 2 = f
HAMEX\formulaire014-equation054	= f n w
HAMEX\formulaire014-equation055	( ) + - 0 1 3 5 6 \div \pm
HAMEX\formulaire014-equation056	- = a x
HAMEX\formulaire014-equation057	+ - 1 2 = i m x
HAMEX\formulaire014-equation058	( ) + - 0 1 2 6 \theta
HAMEX\formulaire014-equation060	/ 1 4 7 8 9 \pm
HAMEX\formulaire014-equation061	0 = \sum \theta a k
HAMEX\formulaire014-equation063	2 = i x
HAMEX\formulaire014-equation064	0 = p
HAMEX\formulaire014-equation065	( ) - 0 1 3 4 5 6 7 8 9 \pm \times
HAMEX\formulaire014-equation066	- 3 k
HAMEX\formulaire014-equation067	( ) + - 0 1 2 = \ldots \sum k m n
HAMEX\formulaire014-equation068	- 0 1
HAMEX\formulaire014-equation069	= k p q
HAMEX\formulaire014-equation072	( ) 0 = u
HAMEX\formulaire014-equation073	0 1 4 6
HAMEX\formulaire014-equation074	+ - 1 = \ldots k n
HAMEX\formulaire015-equation000	( ) - 0 1 2 3 4 5 7 8 9 \div \leq \times
HAMEX\formulaire015-equation001	1 3 = c
HAMEX\formulaire015-equation002	( ) , 1 2 4 = \alpha \times f x
HAMEX\formulaire015-equation003	4 5 9 = k
HAMEX\formulaire015-equation004	+ - 0 1 2 = \infty \lim \rightarrow \sqrt h x
HAMEX\formulaire015-equation006	0 1 5
HAMEX\formulaire015-equation007	1 \alpha
HAMEX\formulaire015-equation008	- 1 2 9 = x y
HAMEX\formulaire015-equation009	+ - 1 a m
HAMEX\formulaire015-equation011	1 3 \gamma
HAMEX\formulaire015-equation013	2 \times n
HAMEX\formulaire015-equation014	- 1 2 h
HAMEX\formulaire015-equation015	( ) - / 0 1 2 3 4 5 6 8 9 \geq \times
HAMEX\formulaire015-equation016	\alpha \sqrt n
HAMEX\formulaire015-equation018	0 1 5 8
HAMEX\formulaire015-equation019	( ) + - = \cos \pi t
HAMEX\formulaire015-equation021	( ) - 1 \theta k
HAMEX\formulaire015-equation022	( ) e f i j
